Item,Parent,2011-12,2012-13,2013-14,2010-11
Indigenous Employment,Employment & Training services,0,172000000,154000000,0
Indigenous Employment Program,Indigenous Employment,0,172000000,154000000,0
Employment Services,Employment & Training services,0,1298000000,1361000000,0
Productive Ageing Package,Employment Services,0,4000000,3000000,0
Mature Age Employment,Employment Services,0,6000000,10000000,0
"Regional Education, Skills and Jobs Plans",Employment Services,0,0,0,0
Productivity Education and Training Fund,Employment Services,0,10000000,0,0
Pacific Seasonal Workers Program,Employment Services,0,1000000,0,0
Job Services Australia,Employment Services,0,1276000000,1346000000,0
Teaching & Learning for school students,"Education, Employment & Workplace Relations",0,8908000000,9536000000,0
National Rewards for Great Teachers,Teaching & Learning for school students,0,1000000,0,0
National Rewards for Great Teachers,National Rewards for Great Teachers,0,1000000,0,0
Rewards for School Improvement,Teaching & Learning for school students,0,0,0,0
Rewards for School Improvement (Non-Government),Rewards for School Improvement,0,0,0,0
Rewards for School Improvement,Rewards for School Improvement,0,0,0,0
Empowering Local Schools,Teaching & Learning for school students,0,0,0,0
Empowering Local Schools (Non-Government),Empowering Local Schools,0,0,0,0
Empowering Local Schools,Empowering Local Schools,0,0,0,0
National Action Plan on Literacy and Numeracy,Teaching & Learning for school students,0,1000000,0,0
Student Assistance,Teaching & Learning for school students,0,288000000,294000000,0
Superannuation payments for ATAS,Student Assistance,0,0,0,0
Assistance for Isolated Children,Student Assistance,0,64000000,71000000,0
ABSTUDY - Tertiary,Student Assistance,0,84000000,86000000,0
ABSTUDY - Secondary,Student Assistance,0,139000000,135000000,0
Youth Support,Teaching & Learning for school students,0,126000000,127000000,0
National Youth Affairs Research Component,Youth Support,0,0,0,0
Youth Engagement,Youth Support,0,11000000,7000000,0
Youth Attainment and Transitions National Partnership,Youth Support,0,114000000,120000000,0
More Support for Students with Disabilities,Teaching & Learning for school students,0,17000000,24000000,0
Students with Disabilities (Non-Government),More Support for Students with Disabilities,0,17000000,19000000,0
Students with Disabilities (COPE),More Support for Students with Disabilities,0,0,5000000,0
Smarter Schools: Improving Teacher Quality National Partnership,Teaching & Learning for school students,0,17000000,1000000,0
Teacher Quality,Smarter Schools: Improving Teacher Quality National Partnership,0,17000000,1000000,0
Digital Education,Teaching & Learning for school students,0,80000000,4000000,0
Digital Education Revolution (Non-Government),Digital Education,0,74000000,0,0
Digtal Education Revolution Project Pool,Digital Education,0,6000000,4000000,0
Trade Training Centres (Non-Government),Teaching & Learning for school students,0,51000000,31000000,0
Schools Support,Teaching & Learning for school students,0,228000000,206000000,0
ABC Digital Education,Schools Support,0,1000000,1000000,0
Indigenous Education,Schools Support,0,40000000,30000000,0
Maths and Science Participation,Schools Support,0,3000000,4000000,0
NBN Enabled Education,Schools Support,0,7000000,8000000,0
Review of School Funding,Schools Support,0,4000000,0,0
Creative Young Stars,Schools Support,0,0,3000000,0
National Plan for School Improvement,Schools Support,0,17000000,9000000,0
Framework for Open Learning,Schools Support,0,2000000,3000000,0
Quality Outcomes,Schools Support,0,50000000,41000000,0
Helping Children with Autism,Schools Support,0,5000000,5000000,0
National School Chaplaincy Program,Schools Support,0,74000000,74000000,0
Grants and Awards,Schools Support,0,3000000,3000000,0
National Asian Languages in Schools,Schools Support,0,0,0,0
Indigenous Ranger Cadetships,Schools Support,0,1000000,3000000,0
Australian Baccalaureate,Schools Support,0,0,0,0
Online Diagnostic Tools,Schools Support,0,10000000,9000000,0
National Trade Cadetship,Schools Support,0,3000000,3000000,0
Teach Next,Schools Support,0,0,1000000,0
Non-Government Schools National Support,Teaching & Learning for school students,0,8095000000,8846000000,0
ndigenous Education (Targeted Assistance) Act,Non-Government Schools National Support,0,130000000,77000000,0
Australian Education Act 2013,Non-Government Schools National Support,0,0,4391000000,0
Schools Assistance Act 2008,Non-Government Schools National Support,0,7965000000,4378000000,0
Early Childhood learning & Care,"Education, Employment & Workplace Relations",0,5168000000,7910000000,0
Government Schools National Support,Early Childhood learning & Care,0,0,2432000000,0
Early Childhood Education,Early Childhood learning & Care,0,3000000,3000000,0
Early Childhood Education - Universal Access,Early Childhood Education,0,3000000,3000000,0
Child Care Fee Assistance,Early Childhood learning & Care,0,4661000000,5048000000,0
Child Care Rebate,Child Care Fee Assistance,0,2131000000,2412000000,0
Child Care Benefit,Child Care Fee Assistance,0,2529000000,2636000000,0
Support for the Child Care System,Early Childhood learning & Care,0,504000000,426000000,0
Jobs Education and Training Child Care Fee Assistance  (JETCCFA),Support for the Child Care System,0,110000000,82000000,0
Child Care Services Support,Support for the Child Care System,0,393000000,343000000,0
Department of Veteran Affairs,Expenses,0,12593000000,12641000000,0
Australian War Memorial,Department of Veteran Affairs,0,55000000,67000000,0
Acknowledgment and Comemoration,Department of Veteran Affairs,0,54000000,87000000,0
Gallipoli-related Activities,Acknowledgment and Comemoration,0,4000000,4000000,0
War Graves and Commemorations,Acknowledgment and Comemoration,0,50000000,82000000,0
Health and Other Care Services,Department of Veteran Affairs,0,5522000000,5559000000,0
Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision,Health and Other Care Services,0,62000000,48000000,0
Military Rehabilitation and Compensation Acts,Health and Other Care Services,0,82000000,85000000,0
Veterans' Counselling and Other Health Services,Health and Other Care Services,0,635000000,667000000,0
Veterans' Community Care and Support,Health and Other Care Services,0,1631000000,1723000000,0
Veterans' Pharmaceuticals Benefits,Health and Other Care Services,0,450000000,416000000,0
Veterans' Hospital Services,Health and Other Care Services,0,1708000000,1675000000,0
General Medical Consultations and Services,Health and Other Care Services,0,953000000,941000000,0
Income Support and Compensation,Department of Veteran Affairs,0,6960000000,6926000000,0
Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision,Income Support and Compensation,0,210000000,164000000,0
Military Rehabilitation and Compensation Acts Payments ,Income Support and Compensation,0,318000000,321000000,0
Veterans' Children Education Scheme,Income Support and Compensation,0,18000000,18000000,0
Assistance and Other Compensation for Veterans and Dependants,Income Support and Compensation,0,88000000,84000000,0
Assistance to Defence Widow/ers and Dependants,Income Support and Compensation,0,1854000000,1860000000,0
Veterans' Disability Support,Income Support and Compensation,0,1574000000,1589000000,0
Veterans' Income Support and Allowances,Income Support and Compensation,0,2895000000,2888000000,0
"Industry Innovation, Science, Research & Tertiary Education Portfolio",Expenses,0,21665000000,23699000000,0
Tertiary Education Quality and Budget Statements Standards Agency,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,18000000,20000000,0
IP Australia ,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,169000000,178000000,0
Commonwealth Scientific and Industrial Research Organisation ,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,1265000000,1300000000,0
Climate Change Authority,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,6000000,8000000,0
Clean Energy Regulator,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,2550000000,3806000000,0
Australian Skills Quality Authority,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,37000000,38000000,0
Australian Research Council ,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,906000000,910000000,0
Excellence for Research in Australia,Australian Research Council ,0,7000000,4000000,0
Linkage - Cross-sector Research Partnerships,Australian Research Council ,0,348000000,344000000,0
Discovery - Research and Research Training,Australian Research Council ,0,550000000,561000000,0
Australian Nuclear Science and Technology Organisation,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,268000000,294000000,0
Australian Institute of Marine Science,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,51000000,57000000,0
Australian Institute of Aboriginal and Torres Strait Islander Studies,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,15000000,16000000,0
Climate Change,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,37000000,79000000,0
Program Support ,Climate Change,0,24000000,58000000,0
Helping to Shape a Global Climate Change,Climate Change,0,1000000,3000000,0
Adapting to Climate Change,Climate Change,0,9000000,13000000,0
Reducing Australia's Greenhouse Gas,Climate Change,0,1000000,3000000,0
Tertiary Education,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,13011000000,13413000000,0
Program Support,Tertiary Education,0,184000000,184000000,0
International Support,Tertiary Education,0,69000000,67000000,0
VET National Support,Tertiary Education,0,1613000000,1555000000,0
Tertiary Student Assistance,Tertiary Education,0,3029000000,3093000000,0
Higher Education Loan Program,Tertiary Education,0,1083000000,1289000000,0
Higher Education Support,Tertiary Education,0,7031000000,7223000000,0
Science & Research,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,2001000000,2026000000,0
Program Support,Science & Research,0,75000000,75000000,0
Science &  Research Capacity,Science & Research,0,282000000,225000000,0
Investment in Higher Education Research,Science & Research,0,1643000000,1725000000,0
Collaborative Research Infrastructure Scheme,Investment in Higher Education Research,0,20000000,39000000,0
The Australian Postgraduate Awards,Investment in Higher Education Research,0,248000000,266000000,0
Sustainable Research Excellence in Universities,Investment in Higher Education Research,0,139000000,169000000,0
Research Training Scheme,Investment in Higher Education Research,0,656000000,671000000,0
Research Infrastructure Block Grants,Investment in Higher Education Research,0,224000000,223000000,0
Joint Research Engagement Program,Investment in Higher Education Research,0,333000000,332000000,0
International Postgraduate Research Scholarship Scheme,Investment in Higher Education Research,0,21000000,22000000,0
Australian industry support,"Industry Innovation, Science, Research & Tertiary Education Portfolio",0,1325000000,1549000000,0
Program Support,Australian industry support,0,348000000,355000000,0
Innovative Industry,Australian industry support,0,377000000,369000000,0
Other,Innovative Industry,0,146000000,88000000,0
Commercialisation Australia,Innovative Industry,0,70000000,74000000,0
Clean Technology Innovation Program,Innovative Industry,0,4000000,61000000,0
Cooperative Research Centres Program,Innovative Industry,0,156000000,144000000,0
Industry Development and Investment,Australian industry support,0,598000000,824000000,0
Other,Industry Development and Investment,0,185000000,265000000,0
Clean Technology Investment Programs,Industry Development and Investment,0,54000000,166000000,0
Automotive Transformation Scheme,Industry Development and Investment,0,358000000,391000000,0
"Families, Housing, Community Services and Indigenous Affairs portfolio",Expenses,0,83735000000,88069000000,0
Torres Strait Regional Authority,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,53000000,56000000,0
Indigenous Land Corporation,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,100000000,92000000,0
Indigenous Business Australia,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,163000000,183000000,0
Business Development and Assistance,Indigenous Business Australia,0,32000000,32000000,0
Indigenous Home Ownership,Indigenous Business Australia,0,47000000,52000000,0
Equities and Investments,Indigenous Business Australia,0,83000000,98000000,0
Workplace Gender Equality Agency,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,5000000,5000000,0
